nome,idade,cpf,rg,data_nasc,sexo,signo,mae,pai,email,senha,cep,endereco,numero,bairro,cidade,estado,telefone_fixo,celular,altura,peso,tipo_sanguineo,cor
Diogo Gael Calebe Barbosa,40,12426787783,356990175,07/04/1983,Masculino,Áries,Catarina Fabiana,Miguel Igor Barbosa,diogo.gael.barbosa@grupomegavale.com.br,2opS572q3K,39404320,Rua Marília de Dirceu,688,Independência,Montes Claros,MG,3838829431,38986926519,"1,72",79,A-,roxo
Isadora Sabrina Isis Peixoto,20,54765671275,164268352,21/02/2003,Feminino,Peixes,Bianca Letícia,Victor Bernardo André Peixoto,isadorasabrinapeixoto@click21.com.br,cPu9LSWMKJ,65036330,Rua General Luso Torres,137,Vila Ivar Saldanha,São Luís,MA,9828278687,98985358544,"1,73",77,O+,roxo
Felipe Martin Bento de Paula,27,48707403895,259451009,15/03/1996,Masculino,Peixes,Julia Elza,Fernando Jorge Cláudio de Paula,felipe.martin.depaula@charquesorocaba.com.br,IOxpE15BLy,59615418,Rua Jônatas Lopes Freire,115,Santa Delmira,Mossoró,RN,8436659466,84989063817,"1,96",65,B-,roxo
Sabrina Teresinha Marli Dias,17,22994293951,395088173,21/02/1997,Feminino,Peixes,Maria Nair,Vinicius Augusto Dias,sabrina_teresinha_dias@alphagraphics.com.br,nfBfGFK0ya,23946210,Rua das Flores,601,Frade (Cunhambebe),Angra dos Reis,RJ,2436855779,24983592066,"1,81",56,A+,vermelho
Edson César dos Santos,66,76661765623,194078450,11/09/1957,Masculino,Virgem,Aurora Sueli,Gabriel Daniel Enzo dos Santos,edson.cesar.dossantos@equipavmineracao.com.br,uwmqomyAOD,69088586,Beco Marcos,799,Jorge Teixeira,Manaus,AM,9225703172,92985713349,"1,71",81,A+,roxo
Nair Gabrielly Pires,52,50741848783,215438437,13/01/1971,Feminino,Capricórnio,Betina Emilly Isabelly,Lucas Pietro Enzo Pires,nairgabriellypires@crsilvadesign.com,ed8SQpIJe9,83415290,Rua Pedro Taverna,285,Roseira,Colombo,PR,4137335875,41993292811,"1,76",86,B+,roxo
Letícia Bianca Carolina da Conceição,20,66775206925,296052395,27/02/2003,Feminino,Peixes,Maya Laís,Pedro Henrique Davi da Conceição,leticia_daconceicao@systrix.com.br,sHayTKjsZq,67120040,Passagem Santo Antônio,450,Coqueiro,Ananindeua,PA,9128086109,91988569755,"1,59",55,O-,verde
Benedita Pietra Giovanna da Cunha,80,07272373733,247510944,03/05/1943,Feminino,Touro,Gabriela Alessandra Maitê,Felipe Bento Thomas da Cunha,benedita_pietra_dacunha@psq.med.br,EEZdScz0Ts,69900373,Avenida Getúlio Vargas,705,Bosque,Rio Branco,AC,6827018301,68994955026,"1,50",58,B-,azul
Gustavo Leonardo Caldeira,71,61889071285,161755306,09/03/1952,Masculino,Peixes,Giovana Helena Heloisa,Rafael Vicente Caldeira,gustavoleonardocaldeira@temavonfeccaosjc.com.br,BSje95MMTE,14405167,Rua Floriano Machado,600,Parque São Jorge,Franca,SP,1639679714,16999938723,"1,73",63,B-,vermelho
Laura Yasmin Laura Cardoso,41,68930916643,431246282,24/07/1982,Feminino,Leão,Raimunda Milena Nicole,Geraldo Giovanni Cardoso,laura_yasmin_cardoso@hmhabitacoesmodernas.com.br,LwJn4389uU,47803082,Rua Argentina,426,Jardins,Barreiras,BA,7728868009,77985971745,"1,70",58,A+,amarelo
Osvaldo Giovanni Moraes,23,66435361703,484912859,17/09/2000,Masculino,Virgem,Valentina Isabelly,Mário Pedro Henrique Moraes,osvaldo-moraes89@isometro.com.br,t0Locx9jEz,78149528,Rua das Mangueiras,771,Novo Mundo,Várzea Grande,MT,6538128294,65998471817,"1,85",85,B+,verde
André João Oliveira,63,39510187984,339962707,03/05/1960,Masculino,Touro,Elaine Simone Isabelle,Bryan Filipe Oliveira,andre_joao_oliveira@baltico.com.br,89MG0k9wCg,40720251,Rua da Manga,231,Periperi,Salvador,BA,7128757557,71994354580,"1,78",86,A+,preto
Regina Rita da Mota,31,89639055948,279080578,13/06/1992,Feminino,Gêmeos,Luna Marlene Alícia,Bernardo Mateus Noah da Mota,regina_rita_damota@novadeliveri.com.br,9bb0BwB4EB,84062714,Rua Rio Imbituva,334,Chapada,Ponta Grossa,PR,4229728465,42999412893,"1,74",74,O-,azul
Sueli Evelyn Martins,61,44871726088,246208715,25/07/1962,Feminino,Leão,Sebastiana Caroline,Fernando Eduardo Enrico Martins,suelievelynmartins@yaooh.com,I0I3ZEBIEU,74470650,Rua Cajubá,472,Residencial Park Solar,Goiânia,GO,6228209477,62985351301,"1,72",73,B+,azul
